char_count,word_count,token_count
37289,6312,7627
113067,19862,23445
87819,15355,17789
7871,1323,1605
11057,1895,2273
39307,6666,8215
10428,1751,2207
34028,6005,7328
509604,86697,103158
9525,1596,2005
26121,4465,5520
12091,2077,2589
2392,438,556
26508,4518,5569
29578,4976,5933
20812,3469,4312
17835,3112,3713
121430,20857,24406
20540,3682,4357
20775,3741,4401
236071,40665,48978
12506,2259,2715
10545,1835,2140
6662,1192,1530
23776,4190,5234
21601,3901,4856
20678,3652,4582
11377,1877,2199
26287,4705,5812
21140,3735,4571
2561,458,531
4417,769,1000
5618,1028,1257
10659,1862,2245
10329,1871,2230
11609,2068,2523
13849,2450,3389
7642,1330,1685
30800,5295,6606
12795,2269,3053
19484,3381,4123
10369,1760,2179
66343,11718,14364
135781,22965,26888
95891,16725,19968
14759,2529,3023
151528,25778,30657
17898,3170,3977
12163,2126,2569
16480,2888,3544
55806,9530,11280
6993,1217,1480
18265,3185,3915
18610,3190,4059
20613,3639,4513
20202,3491,4290
15859,2717,3624
12037,2140,2475
9259,1588,2134
11761,2086,2478
13771,2401,2988
13008,2251,2749
14739,2489,3270
15322,2713,3422
19495,3425,4492
45592,7977,9786
11869,2100,2895
16097,2775,3442
17113,3065,3664
18071,3140,3834
39390,6912,8505
98396,16654,20332
13556,2258,2710
26272,4508,5964
59811,10323,12364
43619,7653,9701
19845,3486,4226
37836,6573,8522
20267,3546,4459
12993,2293,2787
30316,5420,6693
6785,1230,1508
85415,14583,16974
9753,1661,2006
12156,2174,2717
89378,15144,18729
30528,5237,6396
5295,948,1149
19030,3457,4031
7514,1324,1601
2490,440,549
9937,1755,2175
6388,1116,1455
11525,1973,2480
11675,2048,2335
10374,1759,2325
15935,2723,3288
38635,6735,8144
28605,4754,5649
21991,3914,4676
5994,1053,1312
12626,2166,2538
48038,8115,11433
10953,1920,2351
17102,3040,3568
18356,3356,4065
9602,1660,2159
30057,5237,6237
4215,740,923
24403,4318,5287
10507,1868,2323
34949,5971,7655
24295,4279,5677
5598,965,1232
47589,8278,10609
13023,2260,2714
8147,1441,1692
17016,3020,3977
7825,1385,1699
2913,504,610
16235,2825,3506
22780,3983,4820
7704,1297,1591
10470,1788,2475
17956,3026,3693
162546,27855,32601
19572,3416,4153
22241,3735,4609
2364,417,521
29320,5203,6567
31915,5722,7304
9265,1620,1914
39726,7040,8382
39577,6845,8322
24571,4187,5378
40609,6942,8206
1348,230,291
8140,1481,1747
16089,2770,3378
62743,10937,12834
24309,4016,4973
18500,3200,3893
7308,1275,1526
11499,2023,2596
11729,2097,2731
32161,5712,7262
16155,2888,3888
22106,3947,4648
64244,10932,13563
258157,44548,53991
12122,2115,2518
37949,6610,8081
15045,2634,3370
23836,4260,5260
50740,8622,10518
15912,2737,3450
25489,4351,5788
38101,6634,8112
12991,2270,2778
22860,3997,5042
